Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abel Figueiredo (PA),32523,30115,32332,36337,37205,49544,45160,51963,53599,63785,44328,57573.0,69372.0,66599.0,76699.0,80633.0,82186.0,84902.0,95678.0
Acará (PA),197106,267707,252212,311642,357400,427526,352565,418856,440767,503716,506916,871619.0,577256.0,640890.0,789271.0,932175.0,913952.0,755091.0,881826.0
Afuá (PA),85243,83129,90678,90649,93692,103796,121092,133902,161293,190906,232238,262214.0,301313.0,324962.0,318316.0,358271.0,357706.0,368873.0,438244.0
Água Azul do Norte (PA),60186,72754,90937,168671,222295,190861,211249,184284,180873,209295,224992,287540.0,320451.0,379314.0,432588.0,443365.0,422972.0,433939.0,531218.0
Alenquer (PA),100785,117489,131789,137816,144580,178153,214101,269353,361813,360713,364445,560154.0,531842.0,518610.0,660477.0,609255.0,566618.0,573058.0,691614.0
Almeirim (PA),333435,362606,410386,399393,429743,424198,536320,379854,576867,527859,467571,454918.0,502847.0,475344.0,590295.0,666123.0,591446.0,543380.0,627584.0
Altamira (PA),284447,316440,377712,410774,444963,600500,640103,690687,842408,1288182,2206576,3094031.0,3948811.0,3201408.0,2497078.0,2501060.0,2723890.0,2776406.0,2556445.0
Anajás (PA),34141,35357,38406,48705,52570,64439,71020,85336,95376,113267,130357,154237.0,167161.0,180985.0,180704.0,204751.0,206730.0,213400.0,228694.0
Ananindeua (PA),1356575,1509870,1956077,2242831,2694744,3045502,3346302,3539806,4100513,4631459,5114549,4900297.0,5772894.0,6222672.0,6718793.0,6980443.0,7522961.0,8163540.0,8141095.0
Anapu (PA),32829,41076,48623,54932,55121,70277,83946,87656,111551,137034,179067,209864.0,257292.0,302093.0,310094.0,351211.0,368823.0,415241.0,521583.0
Augusto Corrêa (PA),50500,57447,62338,71999,79482,95526,108443,111845,133308,169584,203750,253554.0,251669.0,287174.0,309983.0,332780.0,305707.0,324422.0,365944.0
Aurora do Pará (PA),63534,78606,90668,110875,84864,99740,96127,109004,212961,185990,176413,230601.0,240324.0,257268.0,298798.0,277394.0,260752.0,220672.0,267528.0
Aveiro (PA),18399,20479,24779,32473,33157,42617,53191,59929,55948,66434,67953,87332.0,91998.0,97996.0,120567.0,144716.0,118032.0,123024.0,138807.0
Bagre (PA),27952,31193,33535,38244,41018,51472,54468,63327,78845,88672,102506,141329.0,139405.0,147607.0,164989.0,176250.0,207731.0,203160.0,232845.0
Baião (PA),54812,61625,64814,77577,89625,99713,106934,123005,169274,195523,203189,258691.0,258860.0,307389.0,338690.0,356595.0,346675.0,473026.0,615634.0
Bannach (PA),26641,32772,36015,30472,28920,25361,27256,27694,34215,42043,46793,51382.0,58625.0,68221.0,79721.0,76465.0,78125.0,80972.0,100639.0
Barcarena (PA),1146810,1152762,1563329,1608708,2043291,2288793,2313664,2076760,2227150,2460398,2006449,2658972.0,3902985.0,5513144.0,5014169.0,4818669.0,4737436.0,5364844.0,7437481.0
Belém (PA),8004081,9106087,11024247,11514766,13137025,14368248,15803597,17294868,18801039,21426847,26362015,27139286.0,28687488.0,29215036.0,29466894.0,30244780.0,31479272.0,32372971.0,30835763.0
Belterra (PA),27740,42468,54220,65432,66569,71532,80642,97784,109871,161153,150486,268532.0,251577.0,140052.0,151832.0,158065.0,159132.0,163218.0,186598.0
Benevides (PA),148879,162179,187978,227484,317338,469248,513538,492659,580847,667844,794372,921749.0,1050325.0,1202057.0,1291065.0,1394023.0,1589789.0,1558563.0,1675048.0
Bom Jesus do Tocantins (PA),31131,36792,44327,45702,47184,50501,61463,66636,86836,94171,84493,106169.0,121145.0,134478.0,153703.0,164637.0,175982.0,174025.0,207835.0
Bonito (PA),16822,20165,25186,25881,26298,28329,38080,45452,56788,54910,54941,79527.0,81445.0,86352.0,108500.0,136290.0,151768.0,159908.0,189663.0
Bragança (PA),182841,212262,240536,255689,303425,357014,395128,433293,509272,612982,756414,978372.0,912212.0,976997.0,1047905.0,1116023.0,1127614.0,1162529.0,1377141.0
Brasil Novo (PA),52745,61316,66701,68173,72270,80990,85319,97197,104504,129814,129297,158513.0,181892.0,208756.0,228905.0,240063.0,251821.0,276410.0,322210.0
Brejo Grande do Araguaia (PA),17019,21057,27284,28964,27214,26414,26272,30930,35204,39925,41223,49628.0,56859.0,64269.0,76450.0,80573.0,78157.0,81565.0,88614.0
Breu Branco (PA),158705,171613,206434,216607,224255,257970,366328,270546,534052,615403,409761,473702.0,557970.0,518458.0,537286.0,580409.0,569601.0,600242.0,688187.0
Breves (PA),176537,197410,251985,246571,250340,295801,293398,338524,363440,425659,503024,555397.0,621581.0,653059.0,671417.0,743334.0,813404.0,806109.0,847225.0
Bujaru (PA),84746,105245,121914,137792,178527,157022,162683,189747,228097,238240,287636,446363.0,380781.0,394742.0,481727.0,498799.0,453202.0,413630.0,488391.0
Cachoeira do Piriá (PA),27048,30038,31352,34509,38280,46166,52168,55499,76673,93804,100614,139360.0,142851.0,151957.0,171922.0,188110.0,179381.0,182757.0,215678.0
Cachoeira do Arari (PA),32787,35512,39235,43510,46773,48822,58367,67879,78541,100791,119908,143118.0,146582.0,159323.0,169530.0,172484.0,183253.0,199330.0,230427.0
Cametá (PA),226174,237645,221070,259798,283335,325540,355218,408615,475011,555606,617316,738755.0,848524.0,987906.0,1138431.0,1183561.0,1131454.0,1137121.0,1332550.0
Canaã dos Carajás (PA),69857,146316,465099,581460,630993,634934,1234877,710918,2120092,2947457,3207827,3483478.0,2802921.0,3478390.0,2396141.0,4089225.0,7106492.0,10704887.0,22522725.0
Capanema (PA),231999,236666,270842,287656,347131,387578,460563,518082,601464,670998,671582,828515.0,914174.0,958387.0,985323.0,967493.0,1027331.0,1106990.0,1227086.0
Capitão Poço (PA),83007,94150,104149,115496,151525,161910,167764,189364,232622,255156,300830,369838.0,381023.0,438832.0,480143.0,454009.0,499285.0,704295.0,704881.0
Castanhal (PA),498849,579904,759891,860461,986967,1145325,1329184,1450564,1738923,1919931,2349756,2437327.0,2709860.0,3207269.0,3605674.0,3758255.0,3911556.0,4034041.0,4293180.0
Chaves (PA),37694,42450,46170,50289,46965,52005,62789,70785,82705,98374,114282,137769.0,147275.0,167194.0,178428.0,181414.0,187399.0,194500.0,218344.0
Colares (PA),15837,17547,21028,23750,32561,38397,40769,38810,42094,45089,48865,60813.0,60387.0,65837.0,72684.0,79044.0,80853.0,84851.0,93043.0
Conceição do Araguaia (PA),120537,166507,172628,193029,208193,237788,250050,257802,299034,360801,426733,407473.0,463952.0,520879.0,543396.0,559420.0,552553.0,547713.0,621769.0
Concórdia do Pará (PA),38081,51304,57344,70495,87790,89606,91075,113693,136685,159552,194200,237892.0,249405.0,260414.0,256931.0,292381.0,293528.0,291977.0,322550.0
Cumaru do Norte (PA),37634,44722,58282,72088,70251,67752,70769,77689,107977,135871,154775,186290.0,205328.0,231360.0,267417.0,275438.0,288969.0,286710.0,408055.0
Curionópolis (PA),39333,42157,50489,54946,60598,80403,84848,89052,116295,147615,197767,207669.0,206385.0,344416.0,593083.0,860118.0,820132.0,943189.0,644502.0
Curralinho (PA),29771,34115,38205,41294,49678,57704,65135,74846,92822,109503,121206,156926.0,166068.0,477864.0,651488.0,630978.0,522027.0,253303.0,266866.0
Curuá (PA),21454,25590,29082,33436,40126,42441,56820,66154,93835,62791,71662,79091.0,87319.0,97742.0,108894.0,120943.0,124467.0,129485.0,140213.0
Curuçá (PA),43425,56427,59518,66322,76736,83492,100261,115146,132771,158311,166800,220401.0,220052.0,241752.0,266389.0,276241.0,287319.0,289789.0,330355.0
Dom Eliseu (PA),145140,200806,227335,217886,270881,244532,268019,286165,311832,402445,372226,421272.0,476009.0,567684.0,656864.0,679845.0,685324.0,660970.0,783206.0
Eldorado do Carajás (PA),55842,67802,90705,113126,134980,132129,134500,164883,200326,214135,237257,249470.0,272784.0,287743.0,318851.0,359402.0,377618.0,429733.0,520726.0
Faro (PA),13620,15964,17443,23751,24663,30631,33743,38909,29521,30583,41010,54288.0,42921.0,50485.0,52371.0,56499.0,54909.0,60014.0,63579.0
Floresta do Araguaia (PA),46301,71904,80420,83739,75089,95827,134315,165812,271036,370526,314642,357379.0,313863.0,331441.0,315412.0,249651.0,340155.0,272593.0,414123.0
Garrafão do Norte (PA),40149,42852,57988,58533,74808,69844,86542,91024,121027,117108,141781,171830.0,182233.0,192280.0,216624.0,242307.0,218668.0,220325.0,256395.0
Goianésia do Pará (PA),71143,77951,102068,125019,137147,154848,147700,147618,170782,188608,226404,267741.0,318026.0,324651.0,374417.0,373555.0,339363.0,346998.0,371975.0
Gurupá (PA),38760,42057,46775,54461,62828,72001,79673,91356,103744,121029,133898,163913.0,181608.0,197032.0,201129.0,230596.0,269626.0,280891.0,294443.0
Igarapé-Açu (PA),62751,64300,75488,74906,88331,97506,106706,121151,136819,206187,212043,269984.0,271389.0,298323.0,334255.0,304516.0,355023.0,346236.0,379257.0
Igarapé-Miri (PA),101377,109698,125364,148407,162547,178885,193909,212937,237082,273348,321432,374543.0,411410.0,374547.0,353216.0,376753.0,494094.0,519353.0,627685.0
Inhangapi (PA),15878,20636,26302,28361,28857,34604,39250,40161,45885,60713,63467,90811.0,86399.0,95257.0,112443.0,114682.0,126126.0,119814.0,155791.0
Ipixuna do Pará (PA),113510,153713,191737,193796,202693,221680,281919,273022,387767,498873,440662,471202.0,487403.0,436248.0,485041.0,541030.0,518924.0,576413.0,607202.0
Irituia (PA),46883,56823,67719,68000,68371,78142,82777,91725,105748,115442,121281,162191.0,175420.0,204242.0,219643.0,217124.0,213458.0,220427.0,249125.0
Itaituba (PA),259818,327946,419488,446156,521171,632797,681618,727726,906107,930322,929675,1165927.0,1433058.0,1601843.0,1597707.0,1770962.0,1814310.0,2041945.0,2626139.0
Itupiranga (PA),81756,101084,141729,159969,185987,175252,194320,218315,241334,271907,295101,381965.0,424197.0,453461.0,511523.0,560443.0,518941.0,580326.0,658373.0
Jacareacanga (PA),29805,32980,37801,41366,46686,58173,70038,81677,99660,113275,141010,159487.0,177849.0,202240.0,238484.0,327691.0,461440.0,524934.0,576360.0
Jacundá (PA),105151,115511,153754,172593,190310,219449,224646,254583,263119,301391,344962,377070.0,415245.0,458521.0,489836.0,489217.0,484129.0,488417.0,529375.0
Juruti (PA),69605,93247,94213,87261,99397,156927,227471,316673,480752,568141,568015,868722.0,905205.0,768414.0,941366.0,1046267.0,996562.0,1204784.0,1366721.0
Limoeiro do Ajuru (PA),72760,63899,72731,94450,99020,107300,119062,153909,193960,221430,286482,392544.0,354747.0,404797.0,394987.0,453594.0,404797.0,423763.0,484664.0
Mãe do Rio (PA),51481,61951,71551,84311,93943,127938,154836,166089,174972,189972,196676,235996.0,264507.0,276718.0,283984.0,293012.0,292918.0,291476.0,324097.0
Magalhães Barata (PA),11322,13503,15008,17828,16426,17730,22090,26128,34471,33799,48371,59449.0,55540.0,59783.0,64732.0,75316.0,81723.0,74014.0,93194.0
Marabá (PA),796211,1082505,1607770,1853901,2325295,2801172,3218405,3015985,3458625,3822998,4170451,5739901.0,6313839.0,7305741.0,7487235.0,8599354.0,8779878.0,11406386.0,12930110.0
Maracanã (PA),39717,48595,56229,67167,66249,78644,86703,99066,112322,132533,133493,169509.0,181176.0,186807.0,205831.0,219106.0,234515.0,228263.0,255464.0
Marapanim (PA),44553,53336,61133,65666,66419,75261,85761,100933,100430,121686,148200,156194.0,185495.0,185508.0,213396.0,221402.0,234487.0,220111.0,247549.0
Marituba (PA),254349,271259,381682,398743,426290,549592,596465,627214,732171,829289,923339,1112651.0,1418283.0,1592877.0,1732438.0,1788121.0,1901593.0,1941535.0,2082399.0
Medicilândia (PA),131860,119787,128520,154052,143706,179089,176940,225034,258218,262722,255350,318026.0,502350.0,624718.0,566204.0,580793.0,613954.0,654621.0,876395.0
Melgaço (PA),26881,29564,33145,36985,41825,41245,43993,49198,69232,84585,102149,124602.0,134299.0,140741.0,170140.0,169796.0,178066.0,180022.0,196206.0
Mocajuba (PA),44924,46540,50618,61990,69420,80368,92193,106189,128841,139095,186532,224102.0,220289.0,253839.0,278415.0,306536.0,294911.0,378747.0,496241.0
Moju (PA),121463,148029,179193,199559,232012,308921,326041,349790,398706,481619,562477,657367.0,651287.0,741243.0,869136.0,892534.0,841663.0,914896.0,1266649.0
Mojuí dos Campos (PA),...,...,...,...,...,...,...,...,...,...,...,213045.0,228694.0,125707.0,137561.0,155209.0,153295.0,170177.0,194089.0
Monte Alegre (PA),140115,169261,192189,195316,224892,258629,317743,300268,394236,371138,414857,555744.0,563756.0,612761.0,682044.0,690213.0,720963.0,621428.0,710162.0
Muaná (PA),47808,49889,53568,65215,72660,82878,94276,107235,140604,175563,191396,235348.0,212886.0,232487.0,233425.0,259935.0,257444.0,292578.0,322133.0
Nova Esperança do Piriá (PA),29398,33006,43825,49638,60346,66123,68760,93763,98465,122438,107024,167053.0,148127.0,179038.0,181541.0,215609.0,197887.0,208330.0,257345.0
Nova Ipixuna (PA),21110,24952,29817,37212,43878,47218,55690,58431,67354,80353,94782,101321.0,111438.0,133679.0,134878.0,136995.0,136533.0,158361.0,169151.0
Nova Timboteua (PA),21935,24874,29655,29620,31388,36678,41130,52424,56296,65563,75151,90210.0,95587.0,100631.0,114442.0,122891.0,118687.0,115806.0,143695.0
Novo Progresso (PA),82490,100211,146353,151238,173060,195168,165952,172774,293613,296808,331148,355426.0,424552.0,467114.0,561084.0,608458.0,584389.0,698729.0,826542.0
Novo Repartimento (PA),106564,139677,176300,204548,200941,219915,230659,266454,347951,410402,506001,592580.0,657498.0,736960.0,823582.0,839946.0,853901.0,831147.0,939786.0
Óbidos (PA),131235,149636,166467,176622,185944,208549,233861,255495,363169,322745,382378,522300.0,477445.0,533829.0,613189.0,624557.0,640921.0,977405.0,897155.0
Oeiras do Pará (PA),44007,46933,57058,62389,72892,87150,101987,116590,154222,174597,213065,286546.0,285441.0,359088.0,491096.0,431765.0,388392.0,365938.0,441527.0
Oriximiná (PA),594775,671118,869847,908221,756225,807748,1164533,866141,1635545,1630765,1264242,1524677.0,1409485.0,1722278.0,1814316.0,1701190.0,1626475.0,2085534.0,2503141.0
Ourém (PA),31417,35694,42952,47005,53546,57663,61143,69461,90156,101727,113213,159882.0,151520.0,156196.0,176918.0,187883.0,169095.0,174935.0,203272.0
Ourilândia do Norte (PA),48350,58712,67894,71042,110344,191716,288526,229986,326029,482895,479964,431090.0,819443.0,504260.0,542320.0,540548.0,610583.0,634512.0,775454.0
Pacajá (PA),75304,86369,97121,112736,121874,161547,176719,187315,224947,264384,326519,341269.0,378513.0,433942.0,510233.0,580576.0,595519.0,677086.0,723359.0
Palestina do Pará (PA),13224,15629,19745,20625,20899,23687,26420,30037,36046,40192,39353,46089.0,47595.0,53301.0,63936.0,66032.0,65452.0,72213.0,82964.0
Paragominas (PA),540232,571838,581570,616187,692996,781332,937220,978028,1427239,1685588,1709396,1749020.0,2019305.0,2394332.0,2667465.0,2950442.0,2646845.0,3132989.0,3777292.0
Parauapebas (PA),1396407,1649253,2194271,2476363,2673716,2955019,6522232,5373091,14985170,21013984,19080395,20198715.0,15561713.0,11184354.0,12645409.0,18439322.0,15994405.0,23001043.0,38014863.0
Pau D'Arco (PA),18828,23395,27703,28630,28133,29514,32613,38500,42532,50700,47365,53562.0,58159.0,73398.0,86909.0,74387.0,87951.0,88909.0,97363.0
Peixe-Boi (PA),13457,14433,15648,17446,19398,20045,22627,25290,28106,32750,37343,64775.0,41753.0,48552.0,60462.0,52915.0,55061.0,53683.0,65723.0
Piçarra (PA),52055,69899,67594,67715,63312,63233,68830,74865,89211,104969,115553,137234.0,155514.0,180801.0,200705.0,200788.0,235131.0,211878.0,274687.0
Placas (PA),51657,41383,47555,52584,59404,72671,75707,82925,111570,123708,130997,160850.0,221670.0,235473.0,260906.0,255862.0,245415.0,258528.0,309018.0
Ponta de Pedras (PA),36763,38173,47683,53127,56738,72155,74305,86614,111426,131980,141116,152436.0,164939.0,187380.0,208199.0,212571.0,212006.0,221526.0,246851.0
Portel (PA),105648,116595,149543,163830,180269,223461,213381,226067,264772,290364,378911,456736.0,439885.0,446246.0,682972.0,648015.0,893428.0,785876.0,880348.0
Porto de Moz (PA),48264,57984,60099,63563,70397,87868,81689,109927,131392,159876,178848,226304.0,202864.0,218556.0,240017.0,295945.0,309826.0,321165.0,348459.0
Prainha (PA),66770,81425,101736,116099,124853,100428,106026,121695,141501,159562,197161,229100.0,218863.0,226131.0,275833.0,302521.0,288610.0,295872.0,342531.0
Primavera (PA),14606,15515,16607,19555,20164,23483,26520,34581,34879,39317,44135,70680.0,63930.0,81542.0,120321.0,149269.0,198941.0,236992.0,295648.0
Quatipuru (PA),17775,18848,21563,25219,28243,32669,36122,41614,43000,50848,55967,71116.0,70659.0,75765.0,84625.0,90640.0,97467.0,99904.0,111202.0
Redenção (PA),338506,352020,424133,454204,527782,633238,659062,708068,752443,855748,965208,1096384.0,1317862.0,1467916.0,1645578.0,1700741.0,1802377.0,1866113.0,2028782.0
Rio Maria (PA),56190,66478,108289,119325,147111,141826,167306,174185,201449,211154,228291,266214.0,304399.0,360821.0,407471.0,476846.0,479389.0,494992.0,571430.0
Rondon do Pará (PA),147374,164705,197009,217383,226993,254099,264783,290617,333880,389633,342576,394626.0,469637.0,481472.0,518442.0,520484.0,531514.0,533208.0,628597.0
Rurópolis (PA),55189,61274,71197,74702,79215,101538,109583,124066,149745,172264,180425,229974.0,256946.0,287612.0,341999.0,359162.0,350270.0,375339.0,415601.0
Salinópolis (PA),71502,83462,93182,113831,123309,130362,143207,166445,176749,205015,291863,277429.0,309296.0,348010.0,414191.0,425035.0,470323.0,530753.0,568925.0
Salvaterra (PA),28341,31574,35825,40860,45847,51872,57750,67163,77018,90257,100369,113111.0,122809.0,143257.0,151543.0,165814.0,174926.0,181405.0,193500.0
Santa Bárbara do Pará (PA),32703,31338,38012,43867,55558,67350,67906,64097,71545,86139,114531,102605.0,122116.0,132624.0,146746.0,165777.0,172320.0,180878.0,218708.0
Santa Cruz do Arari (PA),14456,15130,16978,19278,21014,19451,23628,27257,33698,40752,52165,50839.0,53013.0,61148.0,63800.0,68177.0,68942.0,71619.0,81617.0
Santa Izabel do Pará (PA),158815,174116,203680,220479,223551,256081,291256,340650,366698,433552,413979,506488.0,552910.0,609611.0,630492.0,718745.0,757809.0,795107.0,807619.0
Santa Luzia do Pará (PA),29103,34604,40841,44903,47401,51225,56656,64579,74135,83729,93921,112233.0,125055.0,138283.0,144186.0,164124.0,163193.0,160405.0,188634.0
Santa Maria das Barreiras (PA),47841,58178,67943,82131,83130,88225,93468,97867,125316,145031,159444,195215.0,201980.0,250099.0,297680.0,375755.0,379801.0,498864.0,735495.0
Santa Maria do Pará (PA),51026,55304,74388,64247,82503,108966,126018,137820,152534,179004,201877,283608.0,233693.0,203834.0,268294.0,310568.0,383844.0,291091.0,307897.0
Santana do Araguaia (PA),123461,168425,203854,214361,229536,261588,293058,327091,329767,376777,423595,515231.0,590433.0,686482.0,762198.0,803619.0,843465.0,1034821.0,1113883.0
Santarém (PA),829191,1079279,1361523,1410816,1621689,1708319,1856947,2019446,2309692,2601840,3255042,3433607.0,3785536.0,3970093.0,4574029.0,4835996.0,4858426.0,5117941.0,5501389.0
Santarém Novo (PA),11028,13109,15438,13990,14848,16909,17982,23200,24335,27872,30148,39090.0,38573.0,39878.0,47275.0,41026.0,45137.0,46772.0,50994.0
Santo Antônio do Tauá (PA),66573,88966,91640,97927,107909,127503,132090,133130,136005,163692,162292,189069.0,247494.0,297319.0,315291.0,344070.0,366979.0,384943.0,432120.0
São Caetano de Odivelas (PA),28200,30514,36805,38027,39626,63618,47003,47265,57871,72578,88454,106262.0,106421.0,114215.0,119022.0,131227.0,142267.0,146313.0,157769.0
São Domingos do Araguaia (PA),41839,46047,60249,64976,75423,74063,80553,98007,113690,139066,144470,160958.0,177494.0,220134.0,251103.0,272450.0,280955.0,284573.0,302974.0
São Domingos do Capim (PA),39526,54523,62618,63284,83291,126450,90541,116428,151118,176546,188725,267101.0,229971.0,247892.0,315599.0,309229.0,273285.0,345699.0,372003.0
São Félix do Xingu (PA),173716,199085,206933,227446,242308,291066,336218,377835,495055,581855,732394,879870.0,1029712.0,1212882.0,1414834.0,1392878.0,1395545.0,1448104.0,1577607.0
São Francisco do Pará (PA),27050,33746,39082,41848,43014,54686,53645,68019,96494,83691,93222,181684.0,168388.0,165795.0,193474.0,204146.0,234027.0,240284.0,241412.0
São Geraldo do Araguaia (PA),69846,84525,108714,112343,114330,121256,126749,136227,166439,197005,258913,246521.0,290862.0,312905.0,379311.0,441677.0,490241.0,520359.0,599505.0
São João da Ponta (PA),11521,11376,14516,15211,14039,15733,19297,21461,23155,25948,28351,29906.0,35327.0,37866.0,39629.0,42207.0,44628.0,46428.0,52373.0
São João de Pirabas (PA),25638,30561,35254,39031,47780,53037,56729,64982,74769,85850,94878,121857.0,127633.0,131343.0,146869.0,158977.0,164333.0,168796.0,180043.0
São João do Araguaia (PA),20303,22461,28924,37490,48321,38741,40203,46005,54398,72682,78229,89686.0,91686.0,104666.0,109837.0,116992.0,122296.0,133441.0,163405.0
São Miguel do Guamá (PA),123497,130520,159574,170546,180288,213276,218275,269050,338330,366872,395579,587290.0,557171.0,560272.0,661640.0,668061.0,676117.0,630231.0,722327.0
São Sebastião da Boa Vista (PA),35991,35481,40439,45208,50285,56506,64718,69926,98324,120634,131520,153981.0,164857.0,169416.0,176914.0,206893.0,209187.0,205414.0,228371.0
